Name	Age (Ernst) [Ma]	Continental or oceanic?	Start Age [Ma]	Start Age sigma [Ma]	End Age [Ma]	End Age sigma [Ma]	Duration [Ma]	Eruption rate [km3/yr]	Age reference	Comments	Volume [km3]	Volume range [km3]	Volume reference	Location(s)	Ernst cited reference
Columbia River	15.00	Continental	16.65	0.03	15.90	0.01	0.76	0.28	doi.org/10.1126/sciadv.aat8223	U-Pb. Time range includes 95% of volume	210000.00		doi.org/10.12789/geocanj.2014.41.061	North America	"Coble and Mahood, 2012"
Afro-Arabian	30.00	Continental	28.90	0.01	23.75	0.04	5.15	0.10	doi.org/10.1016/j.epsl.2016.03.009	Ar-Ar	500000.00		doi.org/10.1016/j.epsl.2016.03.009	Arabian Pen. & Africa	"Beccaluva et al., 2009"
North Atlantic Igneous Province	60.00	Passive Margin	60.10	0.30	54.90	0.35	5.20	0.35	doi.org/10.1016/j.chemgeo.2007.01.016	Ar-Ar	1800000.00		doi.org/10.1029/93JB02879	Greenland/N. Canada & Europe (UK)	"Jerram et al., 2009"
Deccan Traps	65.00	Continental	66.36	0.02	65.59	0.01	0.77	1.69	doi.org/10.1126/science.aau2422	U-Pb Bayesian eruption est.	1300000.00	"600,000 - 2,000,000"	doi.org/10.1144/0016-76492006-062	India	"Hooper et al., 2010"
Madagascar	90.00	Passive Margin	90.00	2.00	84.00	2.00	6.00	0.04	doi.org/10.1144/SP463.11	Flood basalt portion only	260000.00		doi.org/10.1144/SP463.11	Africa	"Ernst and Buchan, 2001"
Rajmahal	130–120	Passive Margin	118.00	0.60	115.30	0.40	2.70	0.01	doi.org/10.1093/petrology/43.7.1141		30000.00		doi.org/10.1144/SP463.11	Greater India	"Zhu et al., 2009"
Whitsunday	120.00	Passive Margin (Silicic)	132.00	2.00	95.00	2.00	37.00	0.04	doi.org/10.1016/S0377-0273(00)00157-8	Silicic LIP	1400000.00		doi.org/10.1016/S0377-0273(00)00157-8	Australia (east)	"Pirajno and Hoatson, 2012"
HALIP (High Arctic LIP)	130–90	Passive Margin	135.00	5.00	75.00	5.00	60.00	0.03	doi.org/10.1016/j.gr.2018.02.006	Dike swarm	2000000.00	"Dikes span 2E6 km2 area, largely unknown eruptive depth"	doi.org/10.1016/j.gr.2018.02.006	Circum-Arctic	"Jowitt et al., in press"
Parana-Etendeka	130.00	Passive Margin	135.00	1.00	131.50	1.00	3.50	0.43	doi.org/10.1016/j.epsl.2015.01.009		1500000.00		doi.org/10.1126/science.258.5084.975 	South America & Africa	"Thiede and Vasconcelos, 2010"
Bunbury	130.00	Passive Margin	137.00	1.00	130.00	1.00	7.00	0.00	doi.org/10.1144/SP463.11		100.00		doi.org/10.1144/SP463.11	Australia (southwest margin)	"Zhu et al., 2009"
